,retweeted,favorited,statuses_count,followers_count,friends_count,favourites_count,protected,verified,notifications,class
276,0,0,73111,986,412,49543,0,0,0,0
277,0,0,302,197,121,6572,0,0,0,0
278,0,0,1162,117,100,18992,0,0,0,0
279,0,0,3512,3709,35,79,0,0,0,0
280,0,0,7,35,52,10,0,0,0,0
281,0,0,15218,53,109,195,0,0,0,0
282,0,0,2724,224543,1093,6203,0,0,0,0
283,0,0,41,67,46,83,0,0,0,0
284,0,0,283,175,257,6907,0,0,0,0
285,0,0,3,2,23,14,0,0,0,0
286,0,0,6255,26,94,3626,0,0,0,0
287,0,0,9,16,232,4,0,0,0,0
288,0,0,251,826,853,517,0,0,0,0
289,0,0,741,114,293,29,0,0,0,0
290,0,0,25,40,68,39,0,0,0,0
291,0,0,4666,155,316,2412,0,0,0,0
292,0,0,57,16,112,2,0,0,0,0
293,0,0,10,27,138,1,0,0,0,0
294,0,0,20450,1092,2621,18905,0,0,0,0
295,0,0,2069,5247,5232,2,0,0,0,0
296,0,0,5608,144166,898,23,0,0,0,0
297,0,0,18225,12750,13147,143848,0,0,0,0
298,0,0,164673,492,3598,214025,0,0,0,0
299,0,0,27107,7067,6767,91385,0,0,0,0
300,0,0,14520,233,549,20713,0,0,0,0
301,0,0,9037,570,1018,34941,0,0,0,0
302,0,0,223,148,481,67,0,0,0,0
303,0,0,202,77,557,52,0,0,0,0
304,0,0,12589,3468,185,83871,0,0,0,0
305,0,0,267,354,451,791,0,0,0,0
306,0,0,7720,15465,15559,16593,0,0,0,0
307,0,0,1100,93,340,3491,0,0,0,0
308,0,0,81,1807,2259,4287,0,0,0,0
309,0,0,392,1127,4060,906,0,0,0,0
310,0,0,4568,107,51,11170,0,0,0,0
311,0,0,779,121,160,7111,0,0,0,0
312,0,0,14726,99,253,14216,0,0,0,0
313,0,0,30576,928,1270,20701,0,0,0,0
314,0,0,5636,38,101,2843,0,0,0,0
315,0,0,1250,167,820,11736,0,0,0,0
316,0,0,463,3,82,17,0,0,0,0
317,0,0,18,2,70,12,0,0,0,0
318,0,0,12470,96,554,9666,0,0,0,0
319,0,0,1222,647,1118,659,0,0,0,0
320,0,0,5336,1126,968,5434,0,0,0,0
321,0,0,1999,39,166,905,0,0,0,0
322,0,0,2886,439,15,56,0,0,0,0
323,0,0,923,1114,1580,575,0,0,0,0
324,0,0,22,3,23,12,0,0,0,0
325,0,0,117,2,21,107,0,0,0,0
